Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Material,Atmosphere,Mass,Tube Diam,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Res_Volt,Cap,Init_R,Fin_R,Volt_Drop,Res_Drop,Yield,Yield_Per,I_Max,I_Mean,Charge_Tot,PulseTime_I,I_Final,Maxima,Graphene_Yield,TwoDtoG,DtoG,FWHM 2D
1,CB,vac,200,8,60,60,235,1200,56,96,1.6,0.4,179,1.2,77,0.385,149.3641,43.37194541,16.0319454,0.41885,9.50235872,3,0.857142857,0.798069626,0.546842127,52.94027508
2,CB,vac,161.9,8,150,50,120,50,98,114,1.6,1,22,0.6,147.2,0.909203212,88.60687,67.32193225,2.109495686,0.0315,87.80898819,1,0.01010101,0.458187155,0.912019882,0
3,CB,vac,200,8,240,60,235,300,161,96,1.7,0.3,74,1.4,168,0.84,88.60687,25.43110209,7.108608637,0.2826,14.07435806,2,0.349206349,0.650986088,0.746614392,40.45217254
4,CB,vac,200,8,320,80,235,900,43,96,1.8,0.5,192,1.3,54,0.27,102.7453,54.06766732,17.35807541,0.33095,10.23175128,8,0.793650794,0.763019137,0.661024583,50.59616543
5,CB,air,187,8,60,60,145,125,104.6,96,1.4,0.8,40.4,0.6,128.7,0.688235294,70.26505,36.23167257,3.673380527,0.10225,15.18901201,2,0.253968254,0.646566698,0.500578956,40.27712359
6,CB,vac,200,8,320,80,235,200,110,96,1.9,0.7,125,1.2,135,0.675,141.3396,62.58874421,11.31866211,0.1826,28.20523385,8,0.873015873,0.837778152,0.403399413,52.67949933
7,CB,arg,178,8,80,80,220,750,143.4,114,1.9,0.6,76.6,1.3,117.3,0.658988764,89.75323,24.58794318,4.496728924,0.6835,10.60145335,1,0.428571429,0.8681567,0.640358272,48.71545542
8,CB,vac,300,8,120,120,245,1000,108,184,3,1.4,137,1.6,178,0.593333333,135.6078,21.02653964,20.22390614,0.979,10.56652748,4,0.587301587,0.610007682,0.827936719,36.59351107
9,CB,vac,300,8,360,120,220,500,126,184,2.1,0.8,94,1.3,199,0.663333333,192.5438,28.83309255,13.72108063,0.48165,12.90866273,1,0.968253968,0.882533526,0.682293989,52.90849346
10,CB,arg,182,8,120,40,205,280,54.9,114,1.9,2.4,150.1,-0.5,50,0.274725275,164.2668,80.6002956,13.28219972,0.1655,65.21099084,5,0.603174603,0.787639921,0.598022325,52.23718192
11,CB,vac,300,8,360,120,240,300,31,202,3.1,0.3,209,2.8,32,0.106666667,486.7771,195.9744913,33.7071411,0.17425,15.54189975,2,0.936507937,0.866696673,0.620628193,48.67796597
12,CB,vac,300,8,300,140,200,500,107,202,3.2,0.7,93,2.5,216,0.72,290.3668,31.94440737,15.24501647,0.4831,16.68141978,1,0.968253968,0.949783395,0.480921742,50.49683987
13,CB,arg,118,8,0,0,140,325,79.7,60,1.3,0.4,60.3,0.9,103.6,0.877966102,97.77777,23.7159329,4.620607931,0.25265,8.258707695,1,0.714285714,0.823689222,0.66129662,47.22073024
14,CB,vac,130,8,0,0,200,265,186.5,60,1.3,23.2,13.5,-21.9,35.6,0.273846154,175.3484,97.80659554,1.134085689,0.01185,173.3462915,1,0.070707071,0.446426764,0.915151261,138.9742543
15,CB,vac,189,8,180,60,200,40,170,150,1.8,0.9,30,0.9,174,0.920634921,165.0311,112.745716,2.25417874,0.0202,164.3119616,1,0.920634921,0.446426764,0.915151261,31.09256917
16,CB,vac,200,8,240,110,215,150,94,114,1.8,1.2,121,0.6,92,0.46,206.6823,83.1432774,10.91613422,0.1323,41.94070183,4,0.936507937,0.8541811,0.409732796,52.56582865
17,CB,vac,182,8,400,160,215,600,29.3,60,1.7,0.2,185.7,1.5,128.2,0.704395604,366.791,50.80516876,17.3089423,0.35645,8.720309883,3,0.53968254,0.912912854,0.433065324,52.00046339
18,CB,vac,230,8,240,110,240,250,145,114,2,0.7,95,1.3,211,0.917391304,184.1371,39.19134672,9.007646821,0.2327,13.31458887,2,0.968253968,0.591088984,0.858556758,44.84662014
19,CB,vac,260,8,240,110,270,350,133,114,1.7,0.6,137,1.1,179,0.688461539,170.3808,38.38533137,12.68966011,0.3346,20.54393707,2,0.904761905,0.95751252,0.450178695,53.2870209
20,CB,vac,200,8,170,120,240,200,113,96,1.6,0.4,127,1.2,88,0.44,234.195,66.10929123,11.74364068,0.1797,51.90132931,6,0.904761905,0.76905775,0.540446959,53.07091886
21,CB,vac,200,8,170,120,240,700,36,96,1.8,0.5,204,1.3,137,0.685,238.7805,60.97297993,20.16633001,0.34385,9.471024791,5,0.968253968,0.849428239,0.561269911,52.29325423
22,CB,vac,200,8,170,120,240,1200,22,96,1.5,0.5,218,1,119,0.595,212.032,51.49527182,17.96107798,0.4417,8.310217623,3,0.80952381,0.822722732,0.520073045,54.5754167
23,CB,vac,150,8,290,110,230,75,142,78,1.1,0.7,88,0.4,114,0.76,304.8874,137.2665908,8.091221634,0.0592,70.19607199,2,0.952380952,0.887549177,0.392592538,51.92835025
24,CB,vac,150,8,290,110,230,125,63,78,1.1,0.5,167,0.6,96,0.64,401.9462,139.7169386,15.19362876,0.10965,49.59626679,2,0.904761905,0.906324694,0.41892315,55.56952932
25,CB,vac,150,8,290,110,230,250,22,78,0.7,0.6,208,0.1,109,0.726666667,339.2783,83.72476844,18.98412792,0.2301,9.839733349,4,0.920634921,0.840111968,0.460031892,52.32724976
26,CB,vac,200,8,340,130,230,400,15,96,1.3,0.3,215,1,172,0.86,356.4738,74.39484597,19.02230073,0.28465,11.32939484,2,0.888888889,0.823881495,0.539391861,55.27942996
27,CB,vac,223.3,8,0,0,230,610,131.7,96,1.8,0.4,98.3,1.4,182.4,0.816838334,161.2099,18.55901049,9.56580996,0.59385,7.875669604,3,0.848484848,0.832587568,0.612740198,49.22626301
28,CB,vac,208,8,200,100,120,50,88.2,60,1.3,1,31.8,0.3,196,0.942307692,114.5911,88.98741698,2.890990149,0.03285,108.7595612,1,0.02020202,0.61097685,0.793051161,25.98339642
29,CB,vac,150,8,290,110,230,700,16,78,0.8,0.5,214,0.3,121,0.806666667,396.2144,42.94209895,18.72441892,0.45395,9.093336399,3,0.968253968,0.899468353,0.450087644,54.767618
30,CB,vac,200,8,340,130,240,400,20,114,1.7,1.2,220,0.5,164,0.82,380.1653,54.23454901,20.21817644,0.3802,7.548993374,4,0.952380952,0.879848932,0.617325075,54.94247043
31,CB,vac,223.5,8,180,60,200,50,169.4,78,1.6,0.7,30.6,0.9,171.1,0.765548098,123.762,99.54152886,3.319112939,0.03355,110.719302,1,0.101010101,0.728653216,0.592529668,34.09906822
32,CB,vac,200,8,340,130,240,200,95,114,2,1.6,145,0.4,188,0.94,262.0899,74.66974091,13.22350101,0.17885,27.39762311,4,0.936507937,0.778621002,0.751549019,55.09047224
33,CB,air,113,8,120,40,185,150,137,78,1.7,0.7,48,1,87,0.769911504,101.9811,39.74292828,5.036915597,0.12775,49.56080595,3,0.873015873,0.831848587,0.625395662,44.89003649
34,CB,arg,153.9,8,300,100,215,30,195.2,114,1,1.6,19.8,-0.6,96.2,0.625081222,240.309,138.4015802,1.929820951,0.01405,232.9470653,1,0.777777778,0.955419519,0.753147982,57.94523432
35,CB,vac,193,8,250,110,140,500,53.4,78,1.8,1.2,86.6,0.6,168,0.870466321,100.4526,34.16343863,7.747823085,0.32425,5.647903187,1,0.696969697,0.778949339,0.858001516,48.60883002
36,CB,air,122,8,80,80,185,100,152,78,1.5,0.7,33,0.8,75.2,0.616393443,87.4605,44.18472503,3.629207778,0.08285,35.42129423,1,0.825396825,0.838247265,0.565951245,49.26747807
37,CB,arg,156.3,8,240,100,190,70,129,114,1.4,0.1,61,1.3,114.3,0.731285988,183.755,121.6000973,6.65087165,0.0549,66.37940923,1,0.797979798,0.843328501,0.53458713,46.48689568
38,CB,vac,144,8,205,100,200,800,37.7,132,1.9,0.6,162.3,1.3,113,0.784722222,244.5123,27.59761603,18.20993889,0.74145,10.59109786,4,0.888888889,0.91008129,0.532247056,48.86994772
39,CB,vac,235,8,340,130,240,500,72,114,2.8,0.4,168,2.4,203,0.863829787,288.0741,31.8618462,15.2246536,0.48325,17.08818659,4,0.968253968,1.063568503,0.470787252,48.59206125
40,CB,air,146.8,8,240,80,200,40,182.2,150,0.9,1,17.8,-0.1,120.8,0.822888283,216.2353,133.2237691,3.049700419,0.023,216.2132847,1,0.717171717,0.656013145,0.794903802,53.54852148
41,CB,vac,200,8,340,130,250,100,159,96,1.3,0.9,91,0.4,171,0.855,316.7332,96.57098455,8.154936163,0.08545,51.5119108,2,0.920634921,0.848323582,0.498537926,49.44775481
42,CB,air,156,8,100,60,190,225,123,96,1.3,0.8,67,0.5,117.5,0.753205128,121.4693,32.83178309,6.77930006,0.20845,12.1288704,5,0.80952381,0.83106155,0.551464486,49.3845231
43,CB,vac,134.7,8,250,50,120,400,9.7,78,1,0.3,110.3,0.7,120.5,0.894580549,141.7217,31.80884263,11.67025053,0.3821,10.95147617,1,0.755102041,1.058738788,0.639250103,47.90700504
44,CB,air,168,8,120,40,120,80,95.8,60,1.5,1.1,24.2,0.4,158,0.940476191,87.4605,38.28633661,2.256447571,0.05955,29.36337318,2,0.04040404,0.845509616,0.505605654,27.76007292
45,CB,vac,200,8,340,130,250,1200,12,96,2.1,1.1,238,1,169,0.845,217.3817,42.68738673,19.83842109,0.4788,10.26472833,2,0.936507937,0.851975856,0.52757818,52.49035551
46,CB,air,155,8,180,80,190,600,73,96,1.3,1,117,0.3,129.2,0.833548387,145.5429,21.28960463,11.94074551,0.5798,12.06562936,2,0.857142857,0.888754332,0.667790145,54.652571
47,CB,air,236.2,8,70,70,110,340,30.3,96,1.8,1.3,79.7,0.5,193.6,0.819644369,65.6796,27.26490179,8.679280538,0.321,14.41333659,4,0.202020202,0.523007081,0.862586117,37.06362082
48,CB,air,158,8,80,80,210,350,96,96,1.6,0.8,114,0.8,126.5,0.800632911,193.3081,114.1420125,1.568654439,0.0138,184.8622274,1,0.968253968,0.952005104,0.590050549,51.62883264
