Mass,Pretreatment,Voltage,PulseTime,Cap,Graphene_Yield,Estimated,EstimatedUpper
329,Fifteen,206,225,5,0.252525253,,
382,One,151,190,4,0.131313131,,
433,Two,199,68,5,0.060606061,,
299,Three,171,196,3,0.060606061,,
286,Four,214,339,0,0.282828283,,
313,Five,158,361,4,0.464646465,,
378,Six,229,81,5,0.313131313,,
361,Seven,197,405,1,0.515151515,,
301,Eight,213,234,1,0.464646465,,
415,Nine,194,434,4,0.404040404,,
267,Ten,209,275,5,0.505050505,,
398,Eleven,187,265,6,0.161616162,,
346,Twelve,230,423,3,0.272727273,,
265,Thirteen,153,510,1,0.343434343,,
419,Fourteen,198,372,2,0.535353535,,
340,Eight,193,377,3,0.27272727,,
426,Fourteen,198,372,2,0.2,0.4288111,0.5482069
357,Seven,196,404,1,0.47474747,0.421,0.5168
421,Ten,197,373,2,0.16161616,0.386,0.527
270,Ten,208,283,5,0.52525253,0.374,0.507
419,Nine,198,319,2,0.35353535,0.378,0.527
278,Seven,208,287,5,0.41414141,0.445,0.5377
419,Eleven,202,372,2,0.17171717,0.375,0.502
238,Nine,209,272,5,0.88888889,0.449,0.5269
239,Nine,209,269,5,0.76530612,0.635,0.865
200,Eight,211,270,5,0.82653061,0.695,0.84
232,Eight,212,268,5,0.82828283,0.699,0.827
227,Seven,212,267,5,0.45918367,0.686,0.839
231,Nine,209,273,5,0.64948454,0.741,0.846
218,Eight,212,268,6,0.74489796,0.661,0.791
249,Seven,210,272,5,0.444,0.7508658,0.8337088
242,Nine,209,272,5,0.92929,0.7285,0.8285
245,Nine,209,407,5,0.858,0.665,0.803
247,Nine,210,415,5,0.646,0.7225,0.8405
246,Nine,209,353,5,0.828,0.7477,0.8331
233,Nine,206,251,5,0.899,0.6533,0.7817
233,Nine,205,243,5,0.89,0.725,0.9063
250,Eight,206,245,5,0.8586,0.6219,0.7768
257,Eight,204,242,5,0.636,0.70513,0.89143
250,Nine,206,229,5,0.818181,0.633,0.7617
304,Fifteen,206,223,5,0.64,0.35,0.51
236,Nine,207,223,5,0.845,0.7665,0.8795
234,Nine,213,212,5,0.75758,0.7253,0.8211
242,Nine,203,256,5,0.8687,0.7318,0.81767
233,Nine,203,256,5,0.7273,0.7523,0.8441
